Site,ID,C1L317 ,C1L64 ,C1L316 ,C1L58 ,C1L295 ,C6L86 ,C6L166 ,C6L138 ,C6L296 ,C6L157 
CHPO,MIG2,104/104,118/118,144/144,264/264,194/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG3,104/106,114/114,142/144,264/272,196/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG5,104/104,114/114,142/142,264/264,194/200,129/131,96/134,117/133,96/102,206/218
CHPO,MIG6,104/104,114/114,142/142,264/264,194/194,131/131,134/134,133/137,96/96,206/206
CHPO,MIG7,104/104,114/114,142/142,264/272,194/196,131/131,134/134,133/137,96/96,206/206
CHPO,MIG8,104/104,118/118,144/144,264/264,198/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG9,104/104,118/118,144/144,264/264,194/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG10,104/104,118/118,144/144,264/264,194/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG13,104/104,118/118,144/144,264/264,194/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG16,104/104,118/118,144/144,264/264,198/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG4,104/104,118/118,144/144,264/264,194/194,131/131,134/134,133/133,96/96,206/206
CHPO,MIG11,104/104,114/118,142/144,264/272,194/196,131/131,134/134,133/133,96/96,206/206
CHPO,MIG14,104/104,118/118,144/144,264/264,194/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG17,104/106,114/114,142/142,264/272,194/196,131/131,134/134,133/133,96/96,206/206
CHPO,MIG19,104/104,118/118,144/144,264/264,198/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG21,104/104,114/118,142/144,264/272,196/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG22,104/104,114/118,142/144,264/272,196/198,131/131,134/134,133/133,96/96,206/206
CHPO,MIG24,104/106,114/118,142/144,264/272,194/196,131/131,134/134,133/133,96/120,206/206
CHPO,80,104/106,114/114,142/142,264/264,194/194,131/131,134/134,129/129,96/96,206/206
CHPO,81,104/104,114/114,142/142,264/264,194/194,129/129,134/134,129/133,96/96,206/206
ILVA,Berb37_05,116/116,114/114,142/144,264/264,190/192,129/131,110/134,113/125,94/96,212/216
ILVA,Pol41_05,102/102,114/114,144/144,264/264,190/190,133/133,134/134,133/133,96/96,212/212
ILVA,Pol42_05,102/102,114/114,144/144,264/264,190/190,133/133,134/134,133/133,96/96,212/212
ILVA,Pol43_05,102/102,114/114,144/144,264/264,190/190,133/133,134/134,133/133,96/96,212/212
ILVA,Pol44_05,102/102,114/114,144/144,264/264,190/190,131/133,134/134,113/133,96/96,212/212
ILVA,Pol54_05,102/102,114/114,144/144,264/264,190/190,133/133,134/134,133/133,96/96,212/212
ILVA,Pol55_05,102/102,114/114,144/144,264/264,190/190,133/133,134/134,133/133,96/96,212/212
ILVA,Pol56_05,102/102,114/114,144/144,264/264,190/190,133/133,134/134,133/133,96/96,212/212
ILVA,Pol57_05,102/102,114/114,146/146,264/264,190/190,133/133,134/134,121/121,94/94,212/212
ILVA,Pol58_05,102/104,114/114,142/148,266/272,192/198,133/133,134/134,121/133,94/96,212/212
ILVA,SGIA17,102/102,114/114,142/142,266/266,196/196,131/131,134/134,117/117,96/120,208/208
ILVA,SGIA40,102/116,114/114,142/144,264/264,194/198,131/131,104/104,117/117,102/102,212/212
ILVA,SGIA46,102/116,114/114,142/144,264/264,194/198,131/131,104/134,117/117,96/102,208/212
ILVA,SGIA47,102/116,114/114,142/144,264/264,194/198,131/131,134/134,117/117,96/96,208/208
ILVA,SGIA48,116/116,114/114,142/142,264/264,198/198,131/131,104/104,117/117,102/102,208/212
ILVA,SGIA52,102/116,114/114,142/144,264/264,194/198,131/131,104/134,117/117,96/102,208/212
ILVA,Berb1,104/116,114/114,144/146,274/274,190/190,131/131,110/110,113/113,94/94,216/216
ILVA,Berb2,104/116,114/114,142/146,264/274,190/190,131/131,104/104,113/113,102/102,212/212
ILVA,Berb3,116/116,114/114,142/144,264/274,190/190,131/131,110/110,113/113,94/94,216/216
ILVA,GS16,104/106,114/114,142/144,264/264,190/192,131/131,96/134,129/129,96/96,206/216
ICRE,SERI1,102/120,114/114,144/146,264/268,190/190,129/131,134/136,125/129,94/94,212/216
ICRE,SERI2,120/120,114/114,144/144,260/264,190/198,131/131,136/136,113/129,94/94,214/216
ICRE,SERI3,102/124,114/114,144/144,264/264,194/194,131/131,136/138,113/117,94/114,216/218
ICRE,SERI4,102/124,114/114,144/144,260/264,194/198,131/131,136/136,113/129,94/94,214/216
ICRE,SERI5,120/120,114/114,144/144,260/260,198/198,131/131,136/136,129/129,94/94,214/214
ICRE,249,104/104,118/118,144/144,264/264,194/194,129/129,96/96,113/117,102/102,214/218
ICRE,250,102/102,114/114,142/142,262/262,198/198,131/131,136/136,125/125,94/94,216/216
ICRE,255,102/102,114/118,142/144,262/262,174/198,129/131,136/136,125/125,94/94,216/216
ICRE,275,102/102,114/114,142/142,262/262,198/198,131/131,136/136,125/125,94/94,216/216
ICRE,276,102/102,114/118,142/144,262/262,174/198,129/131,136/136,125/125,94/94,216/216
ICRE,Feng1,102/104,114/118,144/148,264/268,192/196,133/135,134/136,121/129,94/94,212/216
ICRE,Feng2,102/108,114/114,142/144,266/268,192/196,119/125,134/134,117/125,92/94,194/210
ICRE,Pedr1,102/102,118/118,144/144,262/262,174/174,129/129,136/136,125/125,94/94,216/216
ICRE,Pedr2,102/102,114/114,142/142,262/262,198/198,131/131,136/136,125/125,94/94,216/216
ICRE,Pedr3,102/102,114/114,142/142,262/262,198/198,131/131,136/136,125/125,94/94,216/216
