Site,ID,C3L60 ,C3L117 ,C3L149 ,C3L221 ,C3L269 ,C3L265 
CHPO,MIG2,162/162,153/153,138/146,148/148,128/130,154/158
CHPO,MIG3,162/162,153/153,140/146,148/148,128/128,150/158
CHPO,MIG5,162/162,153/153,138/138,148/148,130/130,154/154
CHPO,MIG6,162/162,153/153,138/138,148/148,130/130,154/154
CHPO,MIG7,162/162,153/153,138/138,148/148,128/130,154/154
CHPO,MIG8,162/162,153/153,146/146,148/148,128/128,158/158
CHPO,MIG9,162/162,153/153,138/146,148/148,128/130,154/158
CHPO,MIG10,162/162,153/153,138/146,148/148,128/130,154/158
CHPO,MIG13,162/162,153/153,138/146,148/148,128/130,154/158
CHPO,MIG16,162/162,153/153,146/146,148/148,128/128,158/158
CHPO,MIG4,162/162,153/153,138/138,148/148,130/130,154/154
CHPO,MIG11,162/162,153/153,138/138,148/148,128/130,154/154
CHPO,MIG14,162/162,153/153,138/146,148/148,128/130,154/158
CHPO,MIG17,162/162,153/153,138/140,148/148,128/130,158/158
CHPO,MIG19,162/162,153/153,146/146,148/148,128/128,158/158
CHPO,MIG21,162/162,153/153,138/150,148/148,128/128,154/158
CHPO,MIG22,162/162,153/153,138/146,148/148,128/128,154/158
CHPO,MIG24,162/162,153/153,138/140,148/148,128/130,150/154
CHPO,80,162/162,153/153,138/138,148/148,130/130,154/154
CHPO,81,162/162,153/153,138/138,148/148,130/130,154/154
ILVA,Berb37_05,162/162,153/155,152/154,148/148,124/124,150/152
ILVA,Pol41_05,164/164,153/153,156/158,150/150,124/124,150/150
ILVA,Pol42_05,164/164,153/153,156/158,150/150,124/124,150/150
ILVA,Pol43_05,164/164,153/153,156/158,150/150,124/124,150/150
ILVA,Pol44_05,164/164,153/153,156/156,150/150,124/124,150/150
ILVA,Pol54_05,164/164,153/153,156/158,150/150,124/124,150/150
ILVA,Pol55_05,164/164,153/153,156/158,150/150,124/124,150/150
ILVA,Pol56_05,164/164,153/153,156/158,150/150,124/124,150/150
ILVA,Pol57_05,162/162,153/153,138/138,148/148,128/128,154/154
ILVA,Pol58_05,162/162,153/155,140/154,148/148,124/130,150/150
ILVA,SGIA17,162/162,153/153,140/140,148/148,128/128,158/158
ILVA,SGIA40,162/162,153/153,138/142,148/148,128/130,150/150
ILVA,SGIA46,162/162,153/153,138/142,148/148,128/130,150/150
