Site,ID,C6L86 ,C6L166 ,C6L138 ,C6L296 ,C6L157 
CHPO,MIG2,131/131,134/134,133/133,96/96,206/206
CHPO,MIG3,131/131,134/134,133/133,96/96,206/206
CHPO,MIG5,129/131,96/134,117/133,96/102,206/218
CHPO,MIG6,131/131,134/134,133/137,96/96,206/206
CHPO,MIG7,131/131,134/134,133/137,96/96,206/206
CHPO,MIG8,131/131,134/134,133/133,96/96,206/206
CHPO,MIG9,131/131,134/134,133/133,96/96,206/206
CHPO,MIG10,131/131,134/134,133/133,96/96,206/206
CHPO,MIG13,131/131,134/134,133/133,96/96,206/206
CHPO,MIG16,131/131,134/134,133/133,96/96,206/206
CHPO,MIG4,131/131,134/134,133/133,96/96,206/206
CHPO,MIG11,131/131,134/134,133/133,96/96,206/206
CHPO,MIG14,131/131,134/134,133/133,96/96,206/206
CHPO,MIG17,131/131,134/134,133/133,96/96,206/206
CHPO,MIG19,131/131,134/134,133/133,96/96,206/206
CHPO,MIG21,131/131,134/134,133/133,96/96,206/206
CHPO,MIG22,131/131,134/134,133/133,96/96,206/206
CHPO,MIG24,131/131,134/134,133/133,96/120,206/206
CHPO,80,131/131,134/134,129/129,96/96,206/206
CHPO,81,129/129,134/134,129/133,96/96,206/206
ILVA,Berb37_05,129/131,110/134,113/125,94/96,212/216
ILVA,Pol41_05,133/133,134/134,133/133,96/96,212/212
ILVA,Pol42_05,133/133,134/134,133/133,96/96,212/212
ILVA,Pol43_05,133/133,134/134,133/133,96/96,212/212
ILVA,Pol44_05,131/133,134/134,113/133,96/96,212/212
ILVA,Pol54_05,133/133,134/134,133/133,96/96,212/212
ILVA,Pol55_05,133/133,134/134,133/133,96/96,212/212
ILVA,Pol56_05,133/133,134/134,133/133,96/96,212/212
ILVA,Pol57_05,133/133,134/134,121/121,94/94,212/212
ILVA,Pol58_05,133/133,134/134,121/133,94/96,212/212
ILVA,SGIA17,131/131,134/134,117/117,96/120,208/208
ILVA,SGIA40,131/131,104/104,117/117,102/102,212/212
ILVA,SGIA46,131/131,104/134,117/117,96/102,208/212
ILVA,SGIA47,131/131,134/134,117/117,96/96,208/208
ILVA,SGIA48,131/131,104/104,117/117,102/102,208/212
ILVA,SGIA52,131/131,104/134,117/117,96/102,208/212
ILVA,Berb1,131/131,110/110,113/113,94/94,216/216
ILVA,Berb2,131/131,104/104,113/113,102/102,212/212
ILVA,Berb3,131/131,110/110,113/113,94/94,216/216
ILVA,GS16,131/131,96/134,129/129,96/96,206/216
ICRE,SERI1,129/131,134/136,125/129,94/94,212/216
ICRE,SERI2,131/131,136/136,113/129,94/94,214/216
ICRE,SERI3,131/131,136/138,113/117,94/114,216/218
ICRE,SERI4,131/131,136/136,113/129,94/94,214/216
ICRE,SERI5,131/131,136/136,129/129,94/94,214/214
ICRE,249,129/129,96/96,113/117,102/102,214/218
ICRE,250,131/131,136/136,125/125,94/94,216/216
ICRE,255,129/131,136/136,125/125,94/94,216/216
ICRE,275,131/131,136/136,125/125,94/94,216/216
ICRE,276,129/131,136/136,125/125,94/94,216/216
ICRE,Feng1,133/135,134/136,121/129,94/94,212/216
ICRE,Feng2,119/125,134/134,117/125,92/94,194/210
ICRE,Pedr1,129/129,136/136,125/125,94/94,216/216
ICRE,Pedr2,131/131,136/136,125/125,94/94,216/216
ICRE,Pedr3,131/131,136/136,125/125,94/94,216/216
ICRE,Pedr4,131/131,136/136,125/125,94/94,216/216
ICRE,Pedr5,129/131,136/136,125/125,94/94,216/216
ICRE,Pedr6,129/131,136/136,125/125,94/94,216/216
ICRE,Pedr7,131/131,136/136,125/125,94/94,216/216
ICRE,287,129/131,102/106,129/129,94/100,214/214
IGAL,246,129/129,96/96,113/117,102/106,214/218
IGAL,247,NA/NA,NA/NA,NA/NA,NA/NA,212/212
IGAL,248,129/129,96/96,117/117,102/102,218/218
IGAL,263,133/133,110/136,117/125,94/114,212/216
IGAL,264,117/133,106/110,125/129,112/114,212/216
IGAL,265,133/133,136/136,117/117,94/94,212/212
IGAL,266,133/133,110/136,117/125,94/114,212/216
IGAL,271,127/133,104/110,125/125,102/114,212/216
IGAL,272,117/133,106/136,117/129,94/112,212/212
IGAL,273,133/133,110/136,117/125,94/114,212/216
IGAL,MAS89_05,117/129,104/106,121/129,94/108,206/212
IGAL,MAS90_05,129/129,106/106,129/129,94/94,216/216
IGAL,MAS91_05,129/135,106/106,117/129,94/94,206/210
IGAL,MAS92_05,129/129,106/106,129/129,94/94,206/206
IGAL,MAS93_05,117/131,104/134,129/129,94/94,200/216
IGAL,MAS94_05,119/131,104/106,129/133,94/114,200/210
IGAL,MAS95_05,129/137,106/108,125/129,94/118,206/218
IGAL,MAS96_05,117/129,102/106,129/129,94/100,216/218
IGAL,MAS97_05,117/117,106/106,125/125,94/108,214/216
IGAL,MAS98_05,131/131,104/104,129/133,94/94,200/212
IBIN,251,129/129,104/104,151/151,94/94,206/206
IBIN,252,129/129,96/96,117/117,102/102,218/218
IBIN,253,129/133,100/102,121/143,94/118,206/216
IBIN,256,129/129,104/104,151/151,94/94,206/206
IBIN,282,129/129,104/104,151/151,94/94,206/206
IBIN,283,129/129,104/104,151/151,94/94,206/206
IBIN,284,129/129,104/106,121/151,94/94,206/210
IBIN,285,129/129,104/104,151/151,94/94,206/206
IBIN,286,129/133,102/104,121/151,94/118,206/216
IBIN,288,129/129,136/136,125/125,94/94,216/216
IBIN,CAS63_05,129/129,102/106,113/133,94/100,210/214
IBIN,CAS69_05,129/129,104/134,125/129,94/96,218/220
IBIN,CAS80_05,129/131,102/104,121/129,94/114,208/218
IBIN,CAS81_05,127/131,102/134,113/133,92/98,210/216
IBIN,CAS82_05,127/129,102/102,113/113,94/98,214/216
IBIN,CAS83_05,129/129,102/106,113/133,94/100,210/214
IBIN,CAS84_05,127/129,102/106,113/133,98/100,210/216
IBIN,CAS85_05,127/129,102/106,113/133,98/100,210/214
IBIN,CAS87_05,131/135,102/134,121/125,94/114,208/208
IBIN,CAS88_05,129/135,134/134,125/125,94/96,208/220
ST1,T1,131/133,106/138,117/125,94/94,206/218
ST1,T2,115/131,136/138,125/137,94/110,210/212
ST1,T3,123/123,134/134,129/129,108/108,214/214
ST1,T8,125/131,102/134,121/129,98/106,206/216
ST1,T9,105/123,134/134,129/129,92/108,210/214
ST1,T1_05,105/115,134/138,129/137,92/94,212/214
ST1,T2_05,105/131,134/136,125/129,92/110,210/212
ST1,T3_05,105/105,134/134,129/129,92/92,210/210
ST1,T5_05,105/105,106/106,129/129,110/110,214/214
ST1,T6_05,105/115,106/138,129/137,94/110,212/214
ST1,T7_05,105/105,106/134,129/129,92/110,210/214
ST1,T8_05,115/115,138/138,137/137,94/94,212/212
ST1,T9_05,105/105,106/106,129/129,110/110,214/214
ST1,T10_05,105/105,106/134,129/129,92/110,212/214
ST1,T11_05,105/115,134/138,129/137,92/94,210/212
ST1,MA2,131/131,136/136,125/125,110/110,210/210
ST1,MA3,131/131,136/136,125/125,110/110,210/210
ST1,MA7,105/105,134/134,129/129,92/92,210/210
ST1,MA9,105/105,134/134,129/129,92/92,210/214
ST1,MA10,131/131,136/136,125/125,110/110,210/210
ST2,VAR62_05,127/131,102/102,117/125,98/100,208/216
ST2,VAR66_05,133/133,100/100,137/137,100/100,196/196
