"","CHPO","ILVA","ICRE","IGAL","IBIN","ST1","ST2","STP"
"C1L317",2,3.9,4.892,4.947,5.9,4.799,3.9,4.892
"C1L64",2,1,2,3.946,2.9,4.9,5.792,7.976
"C1L316",2,3.9,3.8,5.946,4.9,4,6.692,10.691
"C1L58",2,3.9,5.8,5.895,7.799,4.892,4.885,4.792
"C1L295",3.9,4.992,5.984,6.895,7.89,5,7.685,9.684
"C3L60",1,2,3,1,1.992,3,4.892,4.9
"C3L117",1,1.992,2,2,1.992,3,3.9,7.884
"C3L149",3.9,6.999,6.899,6.6,6.892,5.7,7.791,6.699
"C3L221",1,2.9,3.8,2.892,2.992,4,5,8.592
"C3L269",2,3,5.7,6.792,6.969,4.8,5.892,4.892
"C3L265",2.992,4.892,3.985,4.9,3.892,2.9,5.892,8.777
"C4L149",1.9,4.9,3.892,5.792,4.985,6.799,5.892,7.8
"C4L315",1,3.992,6.792,5.892,7.869,4.9,3.992,11.784
"C4L103",1,2,2.992,2,1.992,2,4,7.984
"C4L104",1,1,1.9,1,2,3,2.9,3.892
"C4L264",1,5.792,4.892,5,5.9,5.985,7.791,7.877
"C4L235",1,3,4.885,2,4,3.992,3,8.984
"C4L181",2,4.9,5.8,5,5.892,6.885,6.8,7.884
"C4L227",2,4.9,8.592,10.789,7.792,6,8.799,8.7
"C6L86",2,2.9,5.6,7.789,4.984,5.8,5,9.776
"C6L166",1.9,3.9,5.692,7.842,6.885,4.9,5,5.992
"C6L138",3.892,5.892,4.9,5.893,7.885,4.8,4.9,6.884
"C6L296",2.8,3.9,4.692,7.839,7.869,5.8,4.9,8.692
"C6L157",1.9,3.9,5.785,6.984,6.992,5.792,6.892,8.791
"Mean",1.96597457781668,3.76875524309735,4.76141855418171,5.23482374074479,5.38183152788416,4.73512008972535,5.50773288470657,7.7009009009009
