"","CHPO","ILVA","ICRE","IGAL","IBIN","ST1","ST2","STP"
"C1L317",2,3.9,4.892,4.947,5.9,4.799,3.9,4.892
"C1L64",2,1,2,3.946,2.9,4.9,5.792,7.976
"C1L316",2,3.9,3.8,5.946,4.9,4,6.692,10.691
"C1L58",2,3.9,5.8,5.895,7.799,4.892,4.885,4.792
"C1L295",3.9,4.992,5.984,6.895,7.89,5,7.685,9.684
"C6L86",2,2.9,5.6,7.789,4.984,5.8,5,9.776
"C6L166",1.9,3.9,5.692,7.842,6.885,4.9,5,5.992
"C6L138",3.892,5.892,4.9,5.893,7.885,4.8,4.9,6.884
"C6L296",2.8,3.9,4.692,7.839,7.869,5.8,4.9,8.692
"C6L157",1.9,3.9,5.785,6.984,6.992,5.792,6.892,8.791
"Mean",2.43914870335923,3.81833570412518,4.91449064449064,6.39770981507824,6.40037422037422,5.06825910931174,5.5644457818142,7.81719772403983
