"","CHPO","ILVA","ICRE","IGAL","IBIN","ST1","ST2","STP"
"C3L60",1,2,3,1,1.992,3,4.892,4.9
"C3L117",1,1.992,2,2,1.992,3,3.9,7.884
"C3L149",3.9,6.999,6.899,6.6,6.892,5.7,7.791,6.699
"C3L221",1,2.9,3.8,2.892,2.992,4,5,8.592
"C3L269",2,3,5.7,6.792,6.969,4.8,5.892,4.892
"C3L265",2.992,4.892,3.985,4.9,3.892,2.9,5.892,8.777
"C4L149",1.9,4.9,3.892,5.792,4.985,6.799,5.892,7.8
"C4L315",1,3.992,6.792,5.892,7.869,4.9,3.992,11.784
"C4L103",1,2,2.992,2,1.992,2,4,7.984
"C4L104",1,1,1.9,1,2,3,2.9,3.892
"C4L264",1,5.792,4.892,5,5.9,5.985,7.791,7.877
"C4L235",1,3,4.885,2,4,3.992,3,8.984
"C4L181",2,4.9,5.8,5,5.892,6.885,6.8,7.884
"C4L227",2,4.9,8.592,10.789,7.792,6,8.799,8.7
"Mean",1.62799305957201,3.73334062807747,4.65208134681819,4.40419083050662,4.6543010332484,4.49716364716365,5.46722367248683,7.61783174151595
