 
 ********** RST CALC OUTPUT FOR DATA FILE - MICROSTN.DAT *********
 
 THERE ARE  8  POPULATIONS AND  24  LOCI, NMAX= 20 
 
 LOCUS VARIANCES IN EACH POPULATION:
 
    POP       LOCUS          VARIANCE     MEAN ALELLE  SAMPLE SIZE
 
    POS       1_317           0.01813       -0.36264       40 
    POS       1_64            0.13274       -0.26742       40 
    POS       1_316           0.04425        0.15176       40 
    POS       1_58            0.50999        0.51298       40 
    POS       1_295           0.04222        0.86448       40 
    POS       3_60            0.00000       -0.61335       40 
    POS       3_117           0.00000       -0.50419       40 
    POS       3_149           0.11356       -0.00503       40 
    POS       3_221           0.00000        0.18236       40 
    POS       3_269           0.03074        0.69015       40 
    POS       3_265           0.22774        0.73978       40 
    POS       4_149           0.00498       -0.38346       40 
    POS       4_315           0.00000        0.67933       40 
    POS       4_103           0.00000       -0.42455       40 
    POS       4_104           0.00000       -0.56181       40 
    POS       4_264           0.00000        0.37762       40 
    POS       4_235           0.00000       -0.55672       40 
    POS       4_181           0.04247       -0.46970       40 
    POS       4_227           0.01039        0.46687       40 
    POS       6_86            0.00422        0.19230       40 
    POS       6_166           0.14682        0.70791       40 
    POS       6_138           0.11277        0.65489       40 
    POS       6_296           0.38691       -0.24728       40 
    POS       6_157           0.13953       -0.84164       40 
 
    SON       1_317           0.87181        0.41295       40 
    SON       1_64            2.13855        0.60938       40 
    SON       1_316           3.04945       -0.67811       40 
    SON       1_58            0.63901        0.26940       40 
    SON       1_295           0.61981       -1.36758       36 
    SON       3_60            1.65168        1.15449       40 
    SON       3_117           1.79122        1.28319       40 
    SON       3_149           0.80292       -0.42690       40 
    SON       3_221           0.09823        0.09424       40 
    SON       3_269           0.94303       -0.76599       40 
    SON       3_265           0.02771       -0.32036       40 
    SON       4_149           1.26810        0.43087       40 
    SON       4_315           0.98107       -0.94943       40 
    SON       4_103           0.01300       -0.48521       40 
    SON       4_104           1.55453        0.47809       40 
    SON       4_264           0.66941       -0.21871       40 
    SON       4_235           0.82944        0.11929       40 
    SON       4_181           1.24108        0.18406       40 
    SON       4_227           0.76211       -0.90671       36 
    SON       6_86            1.92440       -1.67034       40 
    SON       6_166           0.65870        0.43049       40 
    SON       6_138           0.25404        0.22514       40 
    SON       6_296           1.81090        0.40868       40 
    SON       6_157           0.23206        0.23133       40 
 
    CRE       1_317           3.05600        0.18027       40 
    CRE       1_64            0.10056       -0.48436       40 
    CRE       1_316           0.07594        0.19377       40 
    CRE       1_58            0.23788       -0.11337       40 
    CRE       1_295           0.90685        0.47898       40 
    CRE       3_60            0.83861       -0.20271       40 
    CRE       3_117           0.00637       -0.47440       40 
    CRE       3_149           1.26385        0.49315       40 
    CRE       3_221           0.15536        0.47610       40 
    CRE       3_269           0.32546        0.56013       40 
    CRE       3_265           0.21687       -0.18655       40 
    CRE       4_149           0.39615        0.02928       40 
    CRE       4_315           0.20447        0.45016       40 
    CRE       4_103           0.54920       -0.33695       40 
    CRE       4_104           0.01243       -0.54418       40 
    CRE       4_264           0.06413        0.56110       40 
    CRE       4_235           0.47654       -0.27611       40 
    CRE       4_181           0.21594        0.07638       40 
    CRE       4_227           1.20484        0.25006       40 
    CRE       6_86            0.08148        0.11316       40 
    CRE       6_166           0.49154        0.65689       40 
    CRE       6_138           0.29873       -0.34399       40 
    CRE       6_296           0.34655       -0.52727       40 
    CRE       6_157           0.53180        0.84164       40 
 
    GAL       1_317           0.24029       -0.15037       38 
    GAL       1_64            0.08926       -0.51291       38 
    GAL       1_316           0.45520        0.14236       38 
    GAL       1_58            0.51824        0.46902       38 
    GAL       1_295           0.34530        0.52013       38 
    GAL       3_60            0.00000       -0.61335       40 
    GAL       3_117           0.04718       -0.57568       40 
    GAL       3_149           0.16813        0.63095       40 
    GAL       3_221           0.03294        0.23132       40 
    GAL       3_269           0.41268        0.71615       40 
    GAL       3_265           0.43016        0.02959       40 
    GAL       4_149           0.43278        0.82130       40 
    GAL       4_315           0.49442        0.36831       40 
    GAL       4_103           0.01486       -0.35043       40 
    GAL       4_104           0.00000       -0.56181       40 
    GAL       4_264           0.14865        0.67250       40 
    GAL       4_235           0.00486       -0.53658       38 
    GAL       4_181           1.31192       -0.74092       38 
    GAL       4_227           0.42784        0.62503       38 
    GAL       6_86            0.55291       -0.12904       38 
    GAL       6_166           0.64977       -0.72515       38 
    GAL       6_138           0.42203       -0.27736       38 
    GAL       6_296           1.86811        0.39900       38 
    GAL       6_157           0.96164        0.30023       40 
 
    BIN       1_317           0.53940       -0.11888       40 
    BIN       1_64            0.03947       -0.60187       40 
    BIN       1_316           0.43415        0.51942       40 
    BIN       1_58            0.70648       -0.04377       40 
    BIN       1_295           0.58435        0.32851       38 
    BIN       3_60            0.30585       -0.48807       40 
    BIN       3_117           0.00277       -0.49227       40 
    BIN       3_149           0.72458        0.79206       40 
    BIN       3_221           0.12743        0.06487       40 
    BIN       3_269           1.08457        0.02275       40 
    BIN       3_265           0.14951       -0.24831       40 
    BIN       4_149           0.20918        0.50895       40 
    BIN       4_315           0.29950        0.03274       40 
    BIN       4_103           0.00354       -0.41108       40 
    BIN       4_104           0.41293       -0.35030       40 
    BIN       4_264           0.50016        0.10239       40 
    BIN       4_235           0.55129       -0.09755       40 
    BIN       4_181           0.12371        0.07638       40 
    BIN       4_227           0.44068        0.61141       40 
    BIN       6_86            0.04708        0.02186       40 
    BIN       6_166           0.61818       -0.85454       40 
    BIN       6_138           2.88487        0.53293       40 
    BIN       6_296           1.15981       -0.10329       40 
    BIN       6_157           0.92775        0.13289       40 
 
    LVA       1_317           1.98185        0.14703       40 
    LVA       1_64            0.00000       -0.66515       40 
    LVA       1_316           0.08952        0.25680       40 
    LVA       1_58            0.55621        0.50138       40 
    LVA       1_295           0.11569        0.47363       40 
    LVA       3_60            0.01808       -0.51591       40 
    LVA       3_117           0.00277       -0.49227       40 
    LVA       3_149           0.53277        0.53343       40 
    LVA       3_221           0.05664        0.29986       40 
    LVA       3_269           0.21567        0.27411       40 
    LVA       3_265           0.27283       -0.09392       40 
    LVA       4_149           0.78606       -0.60656       40 
    LVA       4_315           0.37239        0.76118       40 
    LVA       4_103           0.01192       -0.47847       40 
    LVA       4_104           0.00000       -0.56181       40 
    LVA       4_264           0.21489        0.24000       40 
    LVA       4_235           0.07675       -0.42917       40 
    LVA       4_181           1.51387        0.24559       40 
    LVA       4_227           0.03228        0.86626       40 
    LVA       6_86            0.01763        0.30795       40 
    LVA       6_166           0.78879        0.13394       40 
    LVA       6_138           0.94074       -0.46014       40 
    LVA       6_296           0.53662       -0.14329       40 
    LVA       6_157           0.24001        0.23133       40 
 
    SPT       1_317           0.67375       -0.21860       40 
    SPT       1_64            1.29524        1.21500       40 
    SPT       1_316           2.02406       -0.57307       40 
    SPT       1_58            0.22022       -1.87640       40 
    SPT       1_295           0.80768       -0.64002       40 
    SPT       3_60            0.80368        1.00137       40 
    SPT       3_117           0.88683        1.34872       40 
    SPT       3_149           0.22892       -1.07773       40 
    SPT       3_221           3.64368       -1.69758       40 
    SPT       3_269           0.88755       -1.37271       40 
    SPT       3_265           1.30722        0.99710       40 
    SPT       4_149           1.18630       -0.42808       40 
    SPT       4_315           1.15697       -1.35866       40 
    SPT       4_103           1.38915        1.83974       40 
    SPT       4_104           0.93673        1.37698       40 
    SPT       4_264           0.72848       -0.47428       40 
    SPT       4_235           1.12644        0.93559       40 
    SPT       4_181           1.42195        0.20714       40 
    SPT       4_227           0.49570       -0.99378       40 
    SPT       6_86            1.46293        0.64883       40 
    SPT       6_166           1.00463       -0.14985       40 
    SPT       6_138           1.21259        0.21933       40 
    SPT       6_296           0.75341        0.52067       40 
    SPT       6_157           1.01411       -0.76289       40 
 
    PAV       1_317           0.29765        0.10272       40 
    PAV       1_64            0.56977        0.68169       40 
    PAV       1_316           0.74425       -0.00581       40 
    PAV       1_58            0.22905        0.30420       40 
