Site,ID,C4L149 ,C4L315 ,C4L103 ,C4L104 ,C4L264 ,C4L235 ,C4L181 ,C4L227 
CHPO,MIG2,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG3,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG5,111/113,117/117,116/116,233/233,124/124,100/100,128/132,202/206
CHPO,MIG6,113/113,117/117,116/116,233/233,124/124,100/100,128/132,202/206
CHPO,MIG7,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG8,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG9,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG10,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG13,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG16,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG4,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG11,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG14,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG17,113/113,117/117,116/116,233/233,124/124,100/100,128/132,202/206
CHPO,MIG19,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG21,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG22,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,MIG24,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
CHPO,80,113/113,117/117,116/116,233/233,124/124,100/100,132/132,206/206
CHPO,81,113/113,117/117,116/116,233/233,124/124,100/100,128/128,202/202
ILVA,Berb37_05,117/121,109/119,116/116,233/233,120/130,100/100,132/134,206/206
ILVA,Pol41_05,109/109,121/121,116/116,233/233,126/126,100/100,140/140,210/210
ILVA,Pol42_05,109/109,121/121,116/116,233/233,126/126,100/100,140/140,210/210
ILVA,Pol43_05,109/109,121/121,116/116,233/233,126/126,100/100,140/140,210/210
ILVA,Pol44_05,109/109,119/121,116/116,233/233,126/134,100/100,132/140,204/210
ILVA,Pol54_05,109/109,121/121,116/116,233/233,126/126,100/100,140/140,210/210
ILVA,Pol55_05,109/109,121/121,116/116,233/233,126/126,100/100,140/140,210/210
ILVA,Pol56_05,109/109,121/121,116/116,233/233,126/126,100/100,140/140,210/210
ILVA,Pol57_05,111/111,117/117,116/116,233/233,122/122,108/108,136/136,210/210
ILVA,Pol58_05,109/111,117/121,116/116,233/233,122/126,100/108,136/140,210/210
ILVA,SGIA17,113/113,117/117,114/114,233/233,120/120,102/102,132/132,208/208
ILVA,SGIA40,113/113,117/117,114/114,233/233,120/120,102/102,132/132,208/208
ILVA,SGIA46,109/113,117/117,114/116,233/233,120/122,100/102,112/132,204/208
ILVA,SGIA47,109/109,117/117,116/116,233/233,122/122,100/100,112/112,204/204
ILVA,SGIA48,113/113,117/117,114/114,233/233,120/120,102/102,132/132,208/208
ILVA,SGIA52,109/113,117/117,114/116,233/233,120/122,100/102,112/132,204/208
ILVA,Berb1,121/121,109/109,116/116,233/233,120/120,100/100,132/132,206/206
ILVA,Berb2,111/111,117/117,116/116,233/233,118/118,100/100,132/132,206/206
ILVA,Berb3,121/121,109/109,116/116,233/233,120/120,100/100,132/132,206/206
ILVA,GS16,113/113,117/117,116/116,233/233,120/120,100/100,132/132,202/206
ICRE,SERI1,113/117,115/117,116/116,233/233,124/128,100/100,128/132,178/214
ICRE,SERI2,115/117,115/115,116/116,233/233,124/126,102/116,128/130,206/210
ICRE,SERI3,117/117,111/115,116/140,233/233,124/126,100/116,128/130,178/206
ICRE,SERI4,117/117,115/121,116/116,233/233,126/128,102/116,128/128,206/208
ICRE,SERI5,117/117,111/115,116/140,233/233,124/126,100/116,128/130,178/206
ICRE,249,111/111,117/117,116/116,233/233,124/124,100/100,132/132,206/206
ICRE,250,111/111,113/113,114/114,233/233,124/124,100/100,136/136,210/210
ICRE,255,117/117,119/119,116/116,233/233,126/126,100/100,132/132,208/208
ICRE,275,111/111,113/113,114/114,233/233,124/124,100/100,136/136,210/210
ICRE,276,111/117,113/117,114/116,233/233,124/128,100/100,132/136,178/210
ICRE,Feng1,117/117,117/117,116/116,233/235,122/128,96/100,126/132,176/210
ICRE,Feng2,113/117,113/117,116/116,233/233,122/124,100/116,128/128,190/218
ICRE,Pedr1,111/111,113/113,114/114,233/233,124/124,100/100,136/136,210/210
ICRE,Pedr2,111/117,113/119,114/116,233/233,124/128,100/100,132/136,178/210
ICRE,Pedr3,111/117,113/117,114/116,233/233,124/128,100/100,132/136,178/210
ICRE,Pedr4,117/117,117/123,116/116,233/233,124/128,100/104,132/134,178/212
ICRE,Pedr5,111/117,113/119,114/116,233/233,124/126,100/100,132/136,210/210
ICRE,Pedr6,117/117,117/119,116/116,233/233,126/128,100/100,132/132,178/178
ICRE,Pedr7,111/117,113/117,114/116,233/233,124/128,100/100,132/136,178/210
ICRE,287,117/117,113/117,116/116,233/233,126/130,100/104,132/132,190/206
IGAL,246,111/111,117/117,116/116,233/233,124/124,100/100,132/132,206/206
IGAL,247,121/121,109/109,116/116,233/233,122/126,NA/NA,NA/NA,NA/NA
IGAL,248,111/111,117/117,116/116,233/233,124/124,100/100,132/132,206/206
IGAL,263,117/121,109/123,116/116,233/233,122/126,100/102,112/112,204/208
IGAL,264,119/121,109/111,116/118,233/233,122/128,100/100,130/136,192/200
IGAL,265,119/119,111/111,118/118,233/233,128/128,100/100,130/130,192/192
IGAL,266,119/121,109/111,116/118,233/233,122/128,100/100,130/136,192/200
IGAL,271,117/121,109/123,116/116,233/233,122/126,100/102,112/112,204/208
IGAL,272,121/121,109/109,116/116,233/233,122/126,100/100,112/136,200/208
IGAL,273,119/121,109/111,116/118,233/233,126/128,100/100,112/130,192/208
IGAL,MAS89_05,113/119,117/117,116/118,233/233,122/130,100/100,128/128,208/210
IGAL,MAS90_05,119/121,117/117,118/118,233/233,126/128,100/102,112/130,178/212
IGAL,MAS91_05,119/119,117/119,116/116,233/233,128/130,100/100,128/128,208/214
IGAL,MAS92_05,119/119,117/117,116/116,233/233,130/130,100/100,128/128,208/208
IGAL,MAS93_05,119/119,117/119,116/116,233/233,128/130,100/100,128/128,208/214
IGAL,MAS94_05,119/119,119/119,116/116,233/233,128/128,100/100,128/128,214/214
IGAL,MAS95_05,119/119,117/119,116/116,233/233,122/130,100/100,128/132,208/216
IGAL,MAS96_05,119/119,117/117,118/118,233/233,128/128,100/100,130/130,212/212
IGAL,MAS97_05,119/119,117/117,116/116,233/233,130/130,100/100,128/128,208/208
IGAL,MAS98_05,115/119,117/121,116/118,233/233,122/124,100/100,128/132,186/204
IBIN,251,117/117,113/113,116/116,233/233,126/126,104/104,132/132,206/206
IBIN,252,111/111,117/117,116/116,233/233,124/124,100/100,132/132,206/206
IBIN,253,117/117,109/115,116/116,233/233,124/126,100/100,130/134,208/212
IBIN,256,117/117,109/113,116/116,233/233,126/126,100/104,132/134,206/212
IBIN,282,117/117,113/113,116/116,233/233,126/126,104/104,132/132,206/206
IBIN,283,117/117,113/113,116/116,233/233,126/126,104/104,132/132,206/206
IBIN,284,117/117,113/113,116/116,233/233,126/126,104/104,132/132,206/206
IBIN,285,117/117,113/113,116/116,233/233,126/126,104/104,132/132,206/206
IBIN,286,117/117,113/115,116/116,233/233,124/126,102/104,132/138,204/206
IBIN,288,117/117,123/123,116/116,233/233,124/124,104/104,134/134,212/212
IBIN,CAS63_05,115/117,113/113,116/116,233/239,112/124,100/120,128/132,206/210
IBIN,CAS69_05,119/121,107/111,116/116,233/233,122/122,100/102,130/132,176/198
IBIN,CAS80_05,117/119,111/113,116/118,233/233,122/122,100/102,130/132,198/208
IBIN,CAS81_05,115/121,111/113,116/116,233/233,110/124,100/102,134/138,206/208
IBIN,CAS82_05,115/117,111/113,116/116,233/233,110/124,100/100,128/134,206/210
IBIN,CAS83_05,117/117,111/113,116/116,233/239,110/112,100/120,132/134,206/206
IBIN,CAS84_05,115/117,113/113,116/116,233/239,112/124,100/120,128/132,206/210
IBIN,CAS85_05,115/117,113/113,116/116,233/239,112/124,100/120,128/132,206/210
IBIN,CAS87_05,117/121,107/113,116/118,233/233,122/122,100/100,130/130,176/208
IBIN,CAS88_05,117/121,107/119,116/116,233/233,116/122,100/100,130/136,176/202
ST1,T1,115/119,113/115,114/116,233/233,124/126,100/102,112/130,174/214
ST1,T2,115/117,101/113,116/116,233/239,112/122,102/112,126/128,174/182
ST1,T3,115/125,101/103,116/116,233/233,122/126,100/112,128/138,174/174
ST1,T8,113/115,101/117,116/116,233/233,122/124,100/112,128/130,174/202
ST1,T9,115/115,101/101,116/116,233/233,122/122,112/112,128/128,174/174
ST1,T1_05,111/117,101/113,114/116,241/241,118/118,100/100,142/142,190/190
ST1,T2_05,117/117,113/113,116/116,239/239,112/112,102/102,126/126,182/182
ST1,T3_05,117/117,101/113,116/116,239/241,112/118,100/102,126/142,182/190
ST1,T5_05,111/115,113/115,114/114,239/241,102/118,100/126,140/142,190/212
ST1,T6_05,111/115,113/115,114/114,239/241,102/118,100/126,140/142,190/212
ST1,T7_05,115/115,101/101,116/116,233/233,122/122,112/112,128/128,174/174
ST1,T8_05,115/115,101/101,116/116,233/233,122/122,112/112,128/128,174/174
ST1,T9_05,115/117,101/113,116/116,233/239,112/122,102/112,126/128,174/182
ST1,T10_05,117/117,113/113,116/116,239/239,112/112,102/102,126/126,182/182
ST1,T11_05,115/115,101/101,116/116,233/233,122/122,112/112,128/128,174/174
ST1,MA2,125/125,103/103,116/116,233/233,126/126,100/100,138/138,NA/NA
ST1,MA3,107/125,103/113,114/116,233/241,118/126,100/100,138/142,190/190
ST1,MA7,125/125,103/103,116/116,233/233,126/126,100/100,138/138,NA/NA
ST1,MA9,107/125,103/113,114/116,233/241,118/126,100/100,138/142,190/190
ST1,MA10,107/125,103/113,114/116,233/241,118/126,100/100,138/142,190/190
ST2,VAR62_05,115/121,113/115,116/132,233/239,124/130,100/102,136/136,184/188
ST2,VAR66_05,109/109,113/113,116/116,239/239,100/100,100/100,114/114,182/182
ST2,VAR67_05,109/109,115/115,132/132,239/239,100/100,126/126,136/136,186/186
ST2,VAR68_05,111/121,113/115,116/118,233/239,100/124,100/102,126/132,180/198
ST2,VAR70_05,115/125,113/115,116/132,233/239,100/130,100/102,114/136,182/184
ST2,VAR72_05,109/109,115/115,114/132,233/239,100/120,100/126,136/140,176/186
ST2,VAR73_05,111/117,113/115,116/116,233/241,128/130,100/102,114/136,184/188
ST2,VAR74_05,109/109,115/115,114/132,233/239,100/120,100/126,136/140,176/186
ST2,VAR76_05,121/125,113/115,116/116,233/239,120/124,100/102,132/136,188/196
ST2,VAR77_05,109/109,115/115,132/132,239/239,100/100,126/126,136/136,186/186
ST2,VAR78_05,109/109,115/115,132/132,239/239,100/100,126/126,136/136,186/186
ST2,VAR79_05,109/109,115/115,132/132,239/239,100/100,126/126,136/136,186/186
ST2,VAR99_05,109/109,115/115,114/132,233/239,100/120,100/126,136/140,176/186
ST2,VAR100_05,109/109,115/115,132/132,239/239,100/100,126/126,136/136,186/186
ST2,VAR101_05,109/109,115/115,132/132,239/239,100/100,126/126,136/136,186/186
ST2,VAR102_05,109/109,115/115,114/132,233/239,100/120,100/126,136/140,176/186
ST2,VAR103_05,125/125,103/103,116/116,233/233,126/126,100/100,138/138,174/174
ST2,VAR104_05,109/111,105/115,118/132,233/233,100/132,100/102,132/136,180/188
ST2,VAR105_05,111/125,103/115,116/132,233/239,102/126,100/100,138/144,174/174
ST2,VAR106_05,109/125,103/105,116/118,233/233,126/132,100/102,136/138,180/180
STP,P25,109/117,95/97,116/140,239/239,108/122,116/120,138/148,174/174
STP,P26,109/115,97/109,116/140,233/239,108/116,116/120,134/138,174/174
STP,P27,109/113,97/111,122/140,239/239,108/116,116/120,124/138,174/198
STP,P39,109/113,97/111,122/140,239/239,108/116,116/120,124/138,174/198
STP,P42,115/117,95/97,116/128,233/239,108/122,112/116,134/148,174/174
STP,P38,111/115,117/117,128/132,239/243,120/122,98/116,128/136,184/198
STP,P40,109/109,101/101,116/116,239/239,122/122,116/116,124/124,188/188
STP,P43,109/121,101/103,116/138,239/239,122/122,110/116,124/134,188/188
STP,P44,109/109,109/109,136/136,239/239,116/116,100/100,128/128,198/198
STP,P45,109/115,99/113,138/140,239/239,122/122,116/116,124/134,174/174
STP,P30,117/119,105/107,132/136,239/245,122/128,98/114,134/136,186/186
STP,P31,103/109,103/109,136/140,239/239,122/124,118/118,138/144,180/186
STP,P32,103/119,103/105,132/140,239/245,122/128,98/118,134/138,186/186
STP,P33,103/117,99/105,136/144,233/233,112/122,100/110,124/138,186/186
STP,P34,103/117,99/105,136/144,233/233,112/122,100/110,124/138,186/186
STP,84,113/115,99/115,138/140,239/239,108/108,98/112,114/136,172/194
STP,85,113/117,111/115,136/140,239/239,108/118,98/112,136/138,172/194
STP,86,115/119,101/115,128/138,239/239,108/124,98/126,136/136,194/196
STP,92,117/119,101/111,128/136,239/239,118/124,112/126,136/138,172/172
STP,93,115/115,99/99,138/138,239/239,108/124,112/114,114/136,172/174
